network Nahin a Raha, नेटवर्क नहीं आ रहा,, No mistake
Bank, बिल्क,, Incorrect Single Word Prediction
recharge, रिचार्ज,, No mistake
Mere prashn ka Uttar Kyon Nahin de rahe hain, मेरे प्रसन्न भाव पर क्यों नहीं दे रहे हैं,, Incorrect Prediction of repetition of words
jio tune Kaise set Karen, जी ट्यून के साथ करें,, Extra Words Predicted
100 Ka Kar De, अंडे का कर दें,, Doesnt pick up English
payments, पेमेंट,, Similar Sounding Word Predicted
Airtel caller tune, थिएटर कॉलरट्यून,, Incorrect Single Word Prediction
jio tune Kaise set Karen, जी ट्यून के साथ करें,, Incorrect Single Word Prediction
Mera data balance kitna hai, मेरा डाटा बैलेंस कितना है,, No mistake
transaction history, ट्रांसक्शन हिस्ट्री,, Similar Sounding Word Predicted
DND register karna hai, पिस्टर करना है,, Random Prediction
recharge ke liye tarikh bataen Jaaye, रिचार्ज के लिए तारीख बताई जाए,, No mistake
Airtel ka data post kitne rupaye ka lagta hai, एयरटेल का डाटा बोस्ट की देर पे लगता है,, Incorrect Single Word Prediction
account balance, को विस,, Random Prediction
document, थीस इन टोकस इन ए ब,,  Both model prediction and ground truth wrong
payment karna hai, पेमेंट करना है,, No mistake
Airtel ka data post kitne rupaye ka lagta hai, एयरटेल का डाटा बोस्ट की देर पे लगता है,, Incorrect Prediction of repetition of words
ISD charges, आईएसडी चार्जेस,, No mistake
MB kitna hai, कमली की दुहा है,, Doesnt pick up English
recharge karna hai, रिचार्ज करना है,, No mistake
data balance check, डाटा बैलेंस चेक,, Similar Sounding Word Predicted
data balance check, डाटा बैलेंस चेक,, No mistake
mera net Nahin chal raha hai, मेरा नेट नहीं चल रहा है,, No mistake
company ke paas Call karne ke liye number bhejo, कंपनी को वास कॉल करने के लिए नंबर भेजो,, P instead of B
dnt request, डे ऑन डिग्रस्ट,, Doesnt pick up English
DND activation, डी एन एक्टीवेशन,, Incorrect Single Word Prediction
dnt request, डे ऑन डिग्रस्ट,,  Both model prediction and ground truth wrong
HDFC insurance, एचडीएफसी इसस,, Doesnt pick up English
balance, अकाउंट में,,  Both model prediction and ground truth wrong
bill detail, विल डिटेल,, No mistake
DND activation, डी एन एक्टीवेशन,, Fast Spoken Sentence
dnt request, डे ऑन डिग्रस्ट,, Incorrect Prediction of repetition of words
sim card link Aadhar number, सिम कार्ड लिंक आहार नंबर,, Similar Sounding Word Predicted
unable to make calls, अनेइबल दो मेइक कॉल,, Incorrect Prediction of repetition of words
mera mera data balance dikhao, मेरा डाटा बैलेंस दिखा,, Incorrect Prediction of repetition of words
mera mera data balance dikhao, मेरा डाटा बैलेंस दिखा,, Incorrect Single Word Prediction
company ke paas Call karne ke liye number bhejo, कंपनी को वास कॉल करने के लिए नंबर भेजो,, Similar Sounding Word Predicted
a Gaya, आया,, Similar Sounding Word Predicted
data balance check, डाटा बैलेंस चेक,, No mistake
Nazar serial, नजर सडियन,, Doesnt pick up English
DND service Lagi Hai Ki Nahin, डी एन डी की सर्विस लगी है कि नहीं,, Extra Words Predicted
DND service Lagi Hai Ki Nahin, डी एन डी की सर्विस लगी है कि नहीं,, Wrong Ground Truth
Sonic, सोने,, Doesnt pick up English
aapka myplan kahan per hai, आपका माइ प्लान का पे है,, Similar Sounding Word Predicted
video  data balance, डॉट बुलेंस,,  Both model prediction and ground truth wrong
aapka myplan kahan per hai, आपका माइ प्लान का पे है,, Incorrect Single Word Prediction
new plans, नू प्लान्स,, No mistake
nominal account balance, अकाउंट बैलेंस,, Fast Spoken Sentence
nominal account balance, अकाउंट बैलेंस,, Extra Words Predicted
data balance, का का गरम है,, Random Prediction
bill details, बिल डिटेल,, Doesnt pick up English
account balance, अकाउंट बैलेंस,, Similar Sounding Word Predicted
account balance, अकाउंट बैलेंस,, No mistake
so rupaye best recharge, 1002  बीयर रेस्टली ट,, Random Prediction
48 rupees extra net pack, फोर्टीयर ड्रू पर एक्सेनाट बग,, Random Prediction
recharge, रिचार्ज,, No mistake
call history, कौल हिस्ट्री,, No mistake
Achcha tu mera net Kitna bacha hai, तो मेरा ने की ग,, Incorrect Prediction of repetition of words
data balance, डाटा बैलेंस,, No mistake
Hindi mein bolo mat ke sath, ही दिन बालो मैक के साथ,, Incorrect Prediction of repetition of words
hotstar, हॉट स्ट,, Doesnt pick up English
kya hal, क्यों आ रहा है,, Random Prediction
company number, कंपनी नंबर,, No mistake
balance bataiye, बैलेंस बताइए,, No mistake
main Bor ho raha hun, मैं बोर हो रहा हूँ,, No mistake
data balance, डाटा बैलेंस,, No mistake
Puli movie, पुलि मरी,, Incorrect Single Word Prediction
aap karti hai, आप खुदती है,,  Both model prediction and ground truth wrong
recharge, रिचार,, Doesnt pick up English
